,year,n,n_inter,not_inter,n_solo
427,1715,9,0,1,8
229,1716,15,0,6,9
298,1717,22,0,6,16
391,1718,17,0,7,10
332,1719,22,0,14,8
390,1720,21,0,4,17
432,1721,13,0,4,9
300,1722,14,0,8,6
443,1723,47,0,9,38
507,1724,12,0,5,7
437,1725,8,0,2,6
472,1726,15,0,4,11
401,1727,27,0,13,14
350,1728,45,0,8,37
362,1729,16,0,5,11
428,1730,20,0,11,9
424,1731,20,0,6,14
457,1732,10,0,4,6
244,1733,22,0,7,15
384,1734,20,0,6,14
249,1735,15,0,4,11
434,1736,7,0,1,6
359,1737,29,0,8,21
302,1738,38,0,6,32
446,1739,17,0,5,12
346,1740,33,0,17,16
321,1741,18,0,7,11
251,1742,52,0,11,41
411,1743,27,0,10,17
269,1744,31,0,14,17
367,1745,25,0,9,16
278,1746,29,0,11,18
268,1747,33,0,10,23
270,1748,30,0,8,22
374,1749,25,0,13,12
225,1750,59,0,19,40
342,1751,73,0,9,64
363,1752,39,0,13,26
223,1753,83,0,13,70
317,1754,72,0,17,55
372,1755,40,0,15,25
375,1756,35,0,18,17
267,1757,90,0,20,70
371,1758,32,0,13,19
352,1759,129,0,11,118
334,1760,45,0,17,28
429,1761,33,0,13,20
331,1762,46,0,20,26
381,1763,53,0,20,33
406,1764,43,0,19,24
258,1765,223,0,12,211
356,1766,50,0,19,31
254,1767,96,0,27,69
262,1768,56,0,20,36
349,1769,94,0,30,64
224,1770,127,0,36,91
245,1771,80,0,24,56
389,1772,48,0,17,31
338,1773,125,0,27,98
221,1774,44,0,15,29
294,1775,112,0,21,91
320,1776,175,0,35,140
247,1777,87,0,12,75
237,1778,101,0,14,87
271,1779,156,0,23,133
307,1780,46,0,18,28
265,1781,63,0,22,41
328,1782,97,0,29,68
279,1783,112,0,17,95
264,1784,323,0,30,293
290,1785,138,0,32,106
337,1786,161,0,35,126
292,1787,301,0,38,263
261,1788,157,0,36,121
257,1789,325,0,55,270
255,1790,248,0,70,178
287,1791,269,0,73,196
256,1792,216,0,59,157
319,1793,247,0,54,193
234,1794,195,0,53,142
336,1795,118,0,34,84
239,1796,223,0,63,160
235,1797,143,0,47,96
274,1798,199,1,59,139
228,1799,308,0,103,205
167,1800,5824,150,1231,4443
200,1801,2364,0,509,1855
177,1802,1974,0,335,1639
215,1803,1814,0,299,1515
212,1804,1759,0,278,1481
213,1805,1606,0,304,1302
217,1806,1759,0,394,1365
218,1807,1486,0,225,1261
210,1808,1811,0,326,1485
194,1809,1924,0,270,1654
211,1810,1879,0,276,1603
206,1811,1896,0,250,1646
202,1812,2009,0,358,1651
220,1813,1891,1,278,1612
196,1814,1823,1,301,1521
199,1815,2608,0,324,2284
179,1816,1946,0,300,1646
216,1817,1865,1,257,1607
208,1818,1902,1,269,1632
173,1819,1797,0,261,1536
219,1820,2338,0,438,1900
197,1821,2439,0,397,2042
207,1822,2431,0,498,1933
127,1823,2548,1,435,2112
209,1824,2639,0,385,2254
100,1825,2652,0,428,2224
188,1826,2692,0,422,2270
205,1827,3264,1,396,2867
136,1828,3427,0,463,2964
192,1829,3374,0,509,2865
214,1830,4229,1,693,3535
189,1831,3533,0,450,3083
190,1832,3493,1,495,2997
198,1833,3688,0,485,3203
204,1834,4439,0,588,3851
201,1835,4878,0,632,4246
157,1836,4725,2,646,4077
195,1837,4989,0,589,4400
193,1838,4684,0,631,4053
203,1839,4867,2,827,4038
185,1840,5990,0,981,5009
146,1841,5620,1,759,4860
122,1842,6257,1,931,5325
183,1843,6116,1,803,5312
168,1844,6352,0,750,5602
155,1845,6381,0,894,5487
186,1846,7123,0,870,6253
141,1847,6492,0,874,5618
165,1848,7389,0,878,6511
176,1849,7519,0,964,6555
160,1850,10404,0,1567,8837
159,1851,10738,0,2038,8700
150,1852,10773,2,989,9782
148,1853,11414,3,951,10460
178,1854,11475,3,1149,10323
134,1855,12776,2,1661,11113
171,1856,12098,1,886,11211
112,1857,13726,5,1275,12446
123,1858,13809,0,1024,12785
94,1859,12793,1,1054,11738
166,1860,13246,3,1296,11947
153,1861,10335,8,1112,9215
182,1862,11728,4,1233,10491
154,1863,11946,1,1824,10121
191,1864,13151,2,1321,11828
59,1865,11656,3,1208,10445
170,1866,13667,0,997,12670
142,1867,14313,5,1080,13228
169,1868,14278,4,1211,13063
163,1869,13949,6,1153,12790
55,1870,16974,13,1622,15339
174,1871,14083,3,1250,12830
137,1872,17291,2,1362,15927
181,1873,17854,8,1513,16333
172,1874,18253,3,1576,16674
180,1875,20266,5,2049,18212
156,1876,19477,2,1680,17795
113,1877,20111,7,1914,18190
162,1878,21559,10,2167,19382
132,1879,22437,15,1992,20430
140,1880,26590,6,2817,23767
